Temp Definition °C,Dew Point Definition °C,Rel Hum Definition %,Precip. Amount Definition mm,Wind Dir Definition 10's deg,Wind Spd Definition km/h,Visibility Definition km,Stn Press Definition kPa,Hmdx Definition,Wind Chill Definition,Weather Definition,datetime
-0.2,-3.1,81,0.0,25,15,16.1,101.78,,-5.0,LegendNANA,2021-01-10 10:00:00
-0.2,-2.8,83,0.0,23,17,16.1,101.78,,-5.0,LegendNANA,2021-01-10 11:00:00
0.0,-3.0,80,0.0,24,9,16.1,101.69,,-3.0,LegendNANA,2021-01-10 12:00:00
0.4,-2.7,80,0.0,22,11,16.1,101.65,,,LegendNANA,2021-01-10 13:00:00
1.1,-2.1,80,0.0,21,13,16.1,101.63,,,LegendNANA,2021-01-10 14:00:00
1.9,-2.3,74,0.0,20,15,16.1,101.62,,,LegendNANA,2021-01-10 15:00:00
2.2,-3.3,67,0.0,26,18,16.1,101.62,,,LegendNANA,2021-01-10 16:00:00
1.0,-3.9,70,0.0,27,17,16.1,101.64,,,LegendNANA,2021-01-10 17:00:00
0.6,-4.3,70,0.0,28,15,16.1,101.7,,,LegendNANA,2021-01-10 18:00:00
0.3,-4.2,72,0.0,28,9,16.1,101.7,,,LegendNANA,2021-01-10 19:00:00
-0.1,-4.2,74,0.0,28,11,16.1,101.71,,-4.0,LegendNANA,2021-01-10 20:00:00
-0.5,-4.2,76,0.0,28,11,16.1,101.67,,-4.0,LegendNANA,2021-01-10 21:00:00
-1.1,-4.8,76,0.0,28,9,16.1,101.66,,-4.0,LegendNANA,2021-01-10 22:00:00
-1.3,-4.7,78,0.0,27,9,16.1,101.68,,-5.0,LegendNANA,2021-01-10 23:00:00
-1.6,-4.6,80,0.0,29,9,16.1,101.65,,-5.0,LegendNANA,2021-01-11 00:00:00
-1.8,-4.7,81,0.0,27,8,16.1,101.64,,-5.0,LegendNANA,2021-01-11 01:00:00
-2.1,-5.0,81,0.0,31,8,16.1,101.63,,-5.0,LegendNANA,2021-01-11 02:00:00
-2.7,-5.4,82,0.0,29,15,16.1,101.63,,-8.0,LegendNANA,2021-01-11 03:00:00
-2.9,-5.7,81,0.0,29,11,16.1,101.58,,-7.0,LegendNANA,2021-01-11 04:00:00
-3.0,-5.8,81,0.0,29,13,16.1,101.56,,-8.0,LegendNANA,2021-01-11 05:00:00
-2.5,-5.5,80,0.0,30,13,16.1,101.54,,-7.0,LegendNANA,2021-01-11 06:00:00
-3.1,-5.8,82,0.0,26,9,16.1,101.54,,-7.0,LegendNANA,2021-01-11 07:00:00
-2.5,-5.3,81,0.0,27,9,16.1,101.51,,-6.0,LegendNANA,2021-01-11 08:00:00
-1.6,-4.4,81,0.0,24,8,16.1,101.52,,-5.0,LegendNANA,2021-01-11 09:00:00
-0.7,-3.6,81,0.0,22,9,16.1,101.46,,-4.0,LegendNANA,2021-01-11 10:00:00
0.0,-2.7,82,0.0,23,15,11.3,101.38,,-4.0,LegendNANA,2021-01-11 11:00:00
0.4,-2.0,84,0.0,24,15,8.1,101.27,,,Fog,2021-01-11 12:00:00
1.0,-2.8,76,0.0,27,28,9.7,101.19,,,Haze,2021-01-11 13:00:00
0.3,-3.4,76,0.0,24,17,9.7,101.13,,,Haze,2021-01-11 14:00:00
0.9,-3.2,74,0.0,23,22,12.9,101.11,,,LegendNANA,2021-01-11 15:00:00
1.1,-3.4,72,0.0,24,30,16.1,101.09,,,LegendNANA,2021-01-11 16:00:00
0.4,-5.2,66,0.0,27,24,16.1,101.1,,,Rain,2021-01-11 17:00:00
0.1,-5.3,67,0.0,25,28,16.1,101.12,,,LegendNANA,2021-01-11 18:00:00
0.2,-4.8,69,0.0,24,24,16.1,101.11,,,LegendNANA,2021-01-11 19:00:00
0.3,-4.7,69,0.0,24,24,16.1,101.11,,,LegendNANA,2021-01-11 20:00:00
0.3,-4.5,70,0.0,24,26,16.1,101.08,,,LegendNANA,2021-01-11 21:00:00
0.2,-4.3,72,0.0,25,26,16.1,101.09,,,LegendNANA,2021-01-11 22:00:00
0.3,-4.2,72,0.0,24,34,16.1,101.09,,,LegendNANA,2021-01-11 23:00:00
0.3,-4.4,71,0.0,24,28,12.9,101.07,,,LegendNANA,2021-01-12 00:00:00
0.1,-3.7,75,0.0,24,24,11.3,101.08,,,LegendNANA,2021-01-12 01:00:00
